run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-8-20260516-23:06:30-3608,config,,,**.numberOfGateways,1,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMaxX,2376.0m,,
General-8-20260516-23:06:30-3608,config,,,**.constraintAreaMaxY,1090.0m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].**.initialX,544.00m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[0].**.initialY,544.00m,,
General-8-20260516-23:06:30-3608,config,,,output-scalar-file,../results/n100-gw1-s8.ini.sca,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[0].**.initialX,510.63m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[0].**.initialY,500.08m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[1].**.initialX,470.29m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[1].**.initialY,520.24m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[2].**.initialX,500.60m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[2].**.initialY,590.25m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[3].**.initialX,535.86m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[3].**.initialY,590.63m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[4].**.initialX,650.85m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[4].**.initialY,510.11m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[5].**.initialX,680.27m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[5].**.initialY,520.84m,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[0].**initialLoRaSF,8,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[0].**initialLoRaTP,8dBm,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[1].**initialLoRaSF,9,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[1].**initialLoRaTP,8dBm,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[2].**initialLoRaSF,7,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[2].**initialLoRaTP,8dBm,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[3].**initialLoRaSF,7,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[3].**initialLoRaTP,2dBm,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[4].**initialLoRaSF,8,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[4].**initialLoRaTP,8dBm,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[5].**initialLoRaSF,7,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[5].**initialLoRaTP,2dBm,,
General-8-20260516-23:06:30-3608,config,,,**.vector-recording,false,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,,
General-8-20260516-23:06:30-3608,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,,
General-8-20260516-23:06:30-3608,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,,
General-8-20260516-23:06:30-3608,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,,
General-19-20260516-23:49:23-3698,runattr,,,configname,General,,
General-19-20260516-23:49:23-3698,runattr,,,datetime,20260516-23:49:23,,
