run,type,module,name,attrname,attrvalue,value
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[2].app[0].timeToFirstPacket,12h,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[3].app[0].timeToFirstPacket,12h 100ms,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[4].app[0].timeToFirstPacket,12h 200ms,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[5].app[0].timeToFirstPacket,12h 300ms,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,24h,
General-18-20260518-02:57:32-2852,config,,,**.alohaChannelModel,false,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].**.evaluateADRinNode,true,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].**initialLoRaCR,4,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].numApps,1,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,
General-18-20260518-02:57:32-2852,config,,,**.LoRaGWNic.radio.iAmGateway,true,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[*].**.initFromDisplayString,false,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",
General-18-20260518-02:57:32-2852,config,,,**.sigma,3.57,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMinX,0m,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMinY,0m,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMinZ,0m,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMaxZ,0m,
General-18-20260518-02:57:32-2852,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,
