run,type,module,name,attrname,attrvalue,value
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[11].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[12].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[12].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[13].**initialLoRaSF,9,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[13].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[14].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[14].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[15].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[15].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[16].**initialLoRaSF,8,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[16].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[17].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[17].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[18].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[18].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[19].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[19].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20].**initialLoRaSF,9,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[21].**initialLoRaSF,7,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[21].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[22].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[22].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[23].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[23].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[24].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[24].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[26].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[26].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[27].**initialLoRaSF,11,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[27].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[28].**initialLoRaSF,8,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[28].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[29].**initialLoRaSF,7,
